detail	date	price(in_dollar)	number_of_bed	rating_value	amount_of_answers	property_type	city	country	state
Fishing, Quiet & Wifi - 10 acres - Country Getaway	May 1 - 6	117.0	2 queen beds	4.98	51	Home	Smithville		
Cozy guest studio with private deck	May 1 - 6	101.0	1 queen bed	4.9	655	Guesthouse	San Diego		
Fabulous Cottage at the Beach	May 1 - 6	253.0	3 beds	4.94	215	Cottage	San Diego		
Beautiful ocean front condo Panama City Beach	May 1 - 6	143.0	1 king bed	4.78	99	Resort	Panama City Beach		
A view, a pool, and, private cabana sleeps five	May 1 - 6	165.0	4 beds	4.8	260	Guesthouse	Rolling Hills		
The T and C Club	May 1 - 6	247.0	6 beds	4.97	90	Home	Tampa		
Oceanfront Apartment - Cocoa Beach	May 1 - 6	176.0	2 beds	4.89	53	Condo	Cocoa Beach		
Jr.Suite at Ocean Residences on the Beach	May 1 - 6	260.0	1 sofa bed	4.9	242	Apartment	Fort Lauderdale		
Charming Cottage at the Beach	May 11 - 16	253.0	3 beds	4.91	550	Cottage	San Diego		
PERFECT VIEW!! Waterfront, Marina, and 2 Pools!	May 4 - 9	99.0	2 queen beds	4.98	125	Condo	Fort Walton Beach		
Breath-taking Strip View on 33rd Flr Luxury Resort	May 1 - 6	118.0	2 beds	4.73	318	Condo	Las Vegas		
Downtown Suite -Pool/Wi-Fi/ SkyView!	May 1 - 6	113.0	2 beds	4.84	144	Apartment	Houston		
Cañon Getaway- Cabin inspired home	May 1 - 6	112.0	2 beds	4.97	460	Guest suite	Colorado Springs		
Fox Farms Little House	May 1 - 6	107.0	2 beds	4.97	430	Home	Waxhaw		
Retro 1BR Apt #3 | Steps from the Water + Parking!	May 1 - 6	106.0	2 beds	4.88	136	Apartment	Miami		
North Capitol Hill Luxury Townhome in Perfect Location	May 1 - 6	135.0	1 queen bed	4.81	538	Townhouse	Washington		
Sunset Suite @ The Vanderbilt | Boutique~BnB	May 1 - 6	224.0	2 beds	4.96	117	Room	Naples		
#3 Foggy Bottom/Georgetown Apartment	May 7 - 12	209.0	1 queen bed	4.82	473	Apartment	Washington		
Direct Waterfront.Keyless entry.Dolphin watch.	May 1 - 6	220.0	2 beds	4.97	279	Condo	Tybee Island		
Tropicana Suite-Grand Manor Luxury Mansion Loft	May 1 - 6	104.0	2 beds	4.86	494	Room	Galveston		
Retro Retreat by the Bay	May 1 - 6	136.0	4 beds	4.9	201	Home	Netarts		
Ocean Drive Beach Front Studio	May 1 - 6	153.0	3 beds	4.56	418	Apartment	Miami Beach		
Coastal Cape Home w/Heated Pool-Sleeps 6	May 1 - 6	125.0	1 queen bed	4.85	75	Home	Cape Coral		
Local Sedona Humble Home	May 1 - 6	236.0	3 beds	4.91	107	Home	Sedona		
Hollywood paradise studio in house,owned entrance	May 1 - 6	103.0	2 beds	4.89	367	Home	Los Angeles		
Luxe guest suite-perfect Staycation Pool & Parking	May 1 - 6	101.0	4 beds	4.91	651	Room	Miami		
Casa Del Mar Spectacular Ocean Views!	May 1 - 6	434.0	3 beds	4.97	148	Home	The Sea Ranch		
Cozy Garden Apartment	May 1 - 6	117.0	3 beds	4.93	287	Apartment	Brooklyn		
Classic Cape Cod Cottage	May 1 - 6	143.0	3 beds	4.92	172	Cottage	Eastham		
Modern 3 bds house with pool in Las Vegas	May 1 - 7	313.0	3 beds	5.0	10	Home	Las Vegas		
Gecko House Unit #1	May 1 - 6	88.0	1 king bed	4.88	113	Home	Gulfport		
LOVELY OCEAN VIEW 1BD/1.5TH APT HIGH FLOOR|PARKING	May 4 - 9	148.0	2 beds	4.85	47	Apartment	Sunny Isles Beach		
spacious chelsea room	May 1 - 6	106.0	3 beds	4.9	127	Room	New York		
Tropical Garden Studio Cottage (2 miles to beach)	May 1 - 6	119.0	1 queen bed	4.97	231	Guest suite	Naples		
Cozy Portland Studio Apartment	May 1 - 6	104.0	2 beds	4.98	745	Guesthouse	Portland		
Direct beautiful beach and ocean view	May 1 - 6	173.0	3 beds	4.93	124	Apartment	Pompano Beach		
Beach paradise. Just minutes to restaurants shops.	May 1 - 6	320.0	4 beds	4.89	54	Condo	Hollywood		
Spacious Heated Pool home with pool/pingpong table	May 1 - 6	212.0	2 beds	4.93	138	Home	Palm Coast		
The Strand Oceanview Studio - Dog Friendly!	May 1 - 6	121.0	6 beds	4.85	392	Guesthouse	Rockaway Beach		
Enjoy the most beautiful sunsets by the *pool	May 1 - 6	113.0	1 queen bed	4.93	42	Home	Lehigh Acres		
Private romantic 1 br in Carmel Woods- love dogs	May 1 - 6	149.0	2 beds	4.86	743	Apartment	Carmel-by-the-Sea		
SUNNY ISLES GORGEOUS Apart 2210!! (+hotel fees)	May 1 - 6	191.0	3 beds	4.91	130	Condo	Sunny Isles Beach		
Point Reyes Unique Creekside Home with Hot Tub	May 1 - 6	271.0	2 beds	4.89	601	Cabin	Point Reyes Station		
Perfect Cottage with Amazing Creek & Harbor Views & Location	May 1 - 6	321.0	7 beds	4.99	298	Cottage	Mount Pleasant		
Eiko Beach House 4BR/3BA Heatd Pool*Hot Tub* Pets	May 8 - 15	722.0	2 beds	4.79	108	Home	Treasure Island		
New: Cozy 1BR Beach Condo on Siesta Key!!!	May 1 - 6	157.0	5 beds	4.82	148	Condo	Siesta Key		
Across the street from Disney/Pool/Free Parking	May 1 - 6	342.0	3 beds	4.99	76	Condo	Anaheim		
BEAUTIFULL CONDO IN THE HEART OF SUNNY ISLES.	May 1 - 6	151.0	3 beds	4.57	225	Condo	Sunny Isles Beach		
BEAUTIFULL CONDO IN THE HEART OF SUNNY ISLES.	May 1 - 6	151.0	3 beds	4.57	225	Condo	Sunny Isles Beach		
Spacious Studio - 1 minute walk to the beach!	May 1 - 6	115.0	1 bed	5.0	23	Condo	Pompano Beach		
Authentic Luxury Designed Loft	May 1 - 6	178.0	3 beds	4.88	253	Loft	Brooklyn		
Hollywood Sunset Strip Private Executive Hideaway	May 13 - 18	272.0	2 king beds	5.0	99	Home	Los Angeles		
Location Location Location 1 bdrm 0.5 mi of Strip	May 1 - 6	124.0	2 beds	4.7	242	Condo	Las Vegas		
Trump Tower High Floor Strip View	May 1 - 6	181.0	2 beds	4.87	464	Apartment	Las Vegas		
Dolphin Bay, Apartment 202	May 1 - 6	140.0	2 beds	4.84	285	Condo	Cocoa Beach		
Oceanfront, rustic cottage	May 1 - 6	339.0	1 bed	4.88	465	Home	St. Augustine		
Enjoy Sunsets at Fully Equipped 2BR Condo on Beach	May 1 - 6	215.0	3 beds	4.93	14	Condo	Pensacola Beach		
Oceanfront Belmont Shore Coastal Luxe	May 1 - 6	174.0	2 beds	4.98	125	Condo	Long Beach		
Spectacular beach to bay views from this resort.	May 1 - 6	218.0	1 bed	4.67	148	Condo	Treasure Island		
Directly on Longboat Key Beach - Kid Friendly/SRQ1	May 1 - 6	196.0	2 beds	4.89	415	Condo	Longboat Key		
The Garden Suite at the Historic Chateau Bleu	May 1 - 6	141.0	1 king bed	4.85	82	Guest suite	Lake Worth		
Private Room in Orlando/Kissimmee (2Twins) T1	May 1 - 6	43.0	1 king bed	4.9	300	Room	Kissimmee		
Casa Alexander	May 1 - 6	73.0	5 beds	4.92	282	Guesthouse	San Antonio		
BEACH FRONT Unit w/ Pool Sandy Toe's # 5	May 7 - 12	233.0	4 beds	4.96	318	Apartment	Englewood		
Across the Street from Beach Getaway/Near Convention Center	May 1 - 6	106.0	4 beds	4.85	97	Room	Long Beach		
